fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,16,1 dorm.,59.00 m2,4 - I,"420,660",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,8 unidades disponibles,Entre 15 al 22,2 dorm.,60.95 m2,5 - I,"416,961",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,18,3 dorm.,61.07 m2,9 - I,"428,094",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"19, 20, 21, 22",2 dorm.,57.49 m2,9,"408,834",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Diciembre, 2023",42.45 a 152.55 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent
"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,8,2 dorm.,66.90 m2,TIPO 1,"467,960",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg
"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios,3 unidades disponibles,"1, 2, 9",2 dorm.,65.00 m2,TIPO 2,"421,960",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg
"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,8,2 dorm.,57.00 m2,TIPO 3,"411,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg
"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg
"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,1 unidad disponible,22,3 dorm.,65.50 m2,TIPO 2,"526,087",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,1 unidad disponible,2,1 dorm.,45.18 m2,TIPO 4A,"393,975",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,2 unidades disponibles,8 y 10,2 dorm.,46.05 m2,TIPO 5,"385,870",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,1 unidad disponible,22,2 dorm.,67.95 m2,TIPO 1B,"532,510",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"01 de Enero, 2024",45.18 a 90.36 m2,Departamento,1 a 4 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,7 y 10,3 dorm.,73.00 m2,TIPO 10,"490,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,68.90 m2,TIPO 1A,"470,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria
