proyecto_link,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2992-residencial-kallpa-santiago-de-surco-lima-lima-b-e-inmobiliaria,-12.1235403,-76.9962963,9,1,8,20,2,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3241-residencial-sukha-surquillo-lima-lima-vienna-grupo-inmobiliario,-12.1234652,-77.0046254,3,0,11,13,0,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2241-morar-surquillo-lima-lima-ter-inmobiliaria,-12.1232303,-77.0047837,3,0,11,13,0,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.122978,-76.9856739,10,1,8,15,1,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1776-novara-miraflores-lima-lima-valico,-12.1227528,-77.02442,12,6,20,20,10,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3405-serenity-santiago-de-surco-lima-lima-madrid-inmobiliaria,-12.1226846,-76.9751443,2,3,12,12,4,4,11
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3653-bellaterra-santiago-de-surco-lima-lima-innovandum-inmobiliaria,-12.1223345,-76.9956263,9,2,6,20,2,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2478-mar-d-amalfi-miraflores-lima-lima-procity,-12.1215855,-77.0205525,10,2,20,15,2,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3340-tommy-miraflores-lima-lima-puerta-de-tierra,-12.1214732,-77.0065784,6,1,11,20,1,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2816-hype-miraflores-lima-lima-capac-asociados,-12.1214529,-77.0267802,20,10,20,20,15,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2415-le-rosier-miraflores-lima-lima-abril-grupo-inmobiliario,-12.1213531,-77.018062,6,2,14,13,0,3,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2578-ramon-zavala-ii-miraflores-lima-lima-inmobiliaria-diegal,-12.1212806,-77.0388915,6,1,20,15,4,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3285-bolona-256-miraflores-lima-lima-ee-inmobiliaria,-12.1211869,-77.0191803,8,1,15,12,0,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2417-piknik-park-miraflores-lima-lima-sembra-inmobiliaria,-12.1210986,-77.0246917,16,7,20,20,7,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3412-via-cadiz-santiago-de-surco-lima-lima-fortem-gestora-inmobiliaria,-12.1207185,-76.9910864,2,1,10,20,2,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2862-domum-miraflores-lima-lima-tectonica-grupo-inmobiliario,-12.1205258,-77.0072596,7,4,9,19,1,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3473-brisa-miraflores-miraflores-lima-lima-inhouse,-12.1203883,-77.0401855,7,2,20,13,5,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2385-edificio-altaurora-surquillo-lima-lima-la-venturosa,-12.1202775,-77.00664,8,2,9,20,1,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2876-amara-santiago-de-surco-lima-lima-conforta-inmobiliaria,-12.1201964,-76.9758997,2,2,12,12,3,0,3
