inmobiliaria_nombre,proyecto_nombre,proyecto_etapa,proyecto_direccion,proyecto_distrito,ubigeo_id,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant,fecha,proyecto_tipo,proyecto_medidas,proyecto_dormitorios,dep_disponibilidad,dep_piso,dep_dormitorios,dep_area,dep_modelo,dep_precio
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,11 unidades disponibles,Entre 7 al 25,3 dorm.,69.51 m2,3,409207
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,4 unidades disponibles,"26, 27, 28, 29",3 dorm.,68.36 m2,3b,402652
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,8 unidades disponibles,Entre 7 al 21,2 dorm.,53.43 m2,4,312208
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,3 unidades disponibles,"22, 23, 24",2 dorm.,53.21 m2,4b,310976
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,2 unidades disponibles,26 y 27,2 dorm.,53.00 m2,4c,309800
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,2 unidades disponibles,28 y 29,2 dorm.,52.80 m2,4d,308680
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,9 unidades disponibles,Entre 7 al 21,2 dorm.,50.00 m2,5,293000
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,1 unidad disponible,22,2 dorm.,50.00 m2,5c,279770
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,9 unidades disponibles,Entre 7 al 21,2 dorm.,53.45 m2,6,312320
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,1 unidad disponible,22,2 dorm.,53.23 m2,6c,306325
GRUPO MG,CÉNTRICO,En Planos,Jr. Alejandro Tirado 653,Cercado de lima,150101,-12.1513565,-76.9734035,12,12,12,12,12,12,12,"30 de Diciembre, 2026",Departamento,48.97 a 88.39 m2,1 a 3 dormitorios,5 unidades disponibles,"23, 24, 25, 26, 27",2 dorm.,51.34 m2,6d,300504
